Day,MaxTemp,Rainfall,Evaporation
1,24.3,0,3.4
2,26.9,3.6,4.4
3,23.4,3.6,5.8
4,15.5,39.8,7.2
5,16.1,2.8,5.6
6,16.9,0,5.8
7,18.2,0.2,4.2
8,17,0,5.6
9,19.5,0,4
10,22.8,16.2,5.4
11,25.2,0,4.2
12,27.3,0.2,7.2
13,27.9,0,7.2
14,30.9,0,6.2
15,31.2,0,8.8
16,32.1,0,8.4
17,31.2,0,7.2
18,30,1.2,7.2
19,32.3,0.6,7.4
20,33.4,0,8
21,33.4,0,8.8
22,19.4,0.4,9.2
23,18.5,25.8,2.8
24,24.3,0.4,1.2
25,28.4,0,4.4
26,26.9,0,6.8
27,22.2,0.2,6.6
28,28,0,4.4
29,24.3,0,7
30,24.1,0.4,2.6
31,20.4,22.6,2.4
32,26.3,4.2,1.6
33,24.2,0.2,6.6
34,26.5,6.6,3.8
35,21.8,0,8.4
36,26.8,0,6
37,25.8,0,4.2
38,28.2,4,4.2
39,29.4,0,6.6
40,24.8,0,10.4
41,18.5,0.6,4.8
42,21.5,0,4.2
43,20.3,0,5
44,27.1,0,4.4
45,29.9,0,6.8
46,21.1,5.4,6.4
47,21.7,1.4,2.8
48,20.9,0,6.6
49,21,0,6.4
50,23.1,3.4,1.6
51,29.5,6.4,1.8
52,22,11,4.4
53,20.4,17.4,7.8
54,24.4,0,6.2
55,21.7,3.4,8.2
56,26.3,0,5.2
57,26.7,0,7.2
58,28.3,14.4,8.8
59,31.6,0,6.6
60,35,0,9.6
61,33.5,0,11.4
62,34.2,0,8.8
63,35,0,7.6
64,23.4,0,12.6
65,25.3,0,6.2
66,27.5,0,7.4
67,34.1,0,6.6
68,33.9,0,9
69,30.3,0,10
70,29.9,0,6.6
71,34.2,0,6.6
72,35.8,0,9.4
73,35.7,0,13.8
74,33.8,2,9
75,22.8,0,12.4
76,33.8,0,5.2
77,33.2,0,10.4
78,25.1,4.8,6.4
79,20.4,0,9.6
80,19.6,18.8,5
81,24.7,12.2,1.4
82,19.9,0.8,5.6
83,22.5,0,4.4
84,24.4,0,5.8
85,27.8,0,6.4
86,25.7,0,6.8
87,28.8,0,7.4
88,31.3,0,6.6
89,33.2,0,9.4
90,33.9,0,10.4
91,34.9,0,9.2
92,27.8,5.2,10.2
93,23.8,2.2,5.4
94,28.8,0,5.8
95,29.6,0,5.8
96,22.6,1.8,8
97,22.8,9,2.8
98,27.4,1,2.8
99,24.2,0,6.8
100,19.9,16.2,5.4
101,20.9,0,4
102,23.1,0,5.8
103,26,0,5
104,24.2,4.4,6.6
105,18.2,11,3.2
106,24.2,0.2,2.8
107,25.2,0,5.6
108,26.1,0,7.2
109,24.1,0,7.4
110,25.8,0,6.8
111,27.1,0,5.6
112,28.9,0,7.2
113,24.8,1.8,7.8
114,28.6,6.6,3.2
115,25.1,0,7.8
116,23.8,0,10.4
117,25.9,0,5.2
118,28.2,0,5
119,27.6,0,7.8
120,17.3,0,7.6
121,18.4,10.4,5.2
122,21.8,0,6.2
123,24.4,0,6.2
124,27.3,0,5.6
125,28.2,0,6
126,27.6,0,6
127,31.8,0,6
128,29.2,0,8.4
129,27.4,3,4.8
130,27.8,0,5
131,31.7,0,6.6
132,34.7,0,6.4
133,31.7,0.2,7.8
134,33.1,0,8.6
135,33.8,0,7.2
136,35.2,0,6.4
137,32.3,0,9.4
138,30.2,0,7.8
139,29.9,0,5.8
140,26.2,0,9
141,29.3,0,5.2
142,14.8,0,8.2
143,19.6,0,2.8
144,24.9,0,2.4
145,22.4,0.6,4.8
146,17.4,6.4,2.8
147,20.2,19.8,2.6
148,18.3,0,4.6
149,18.2,0,3.6
150,18.5,0,3.4
151,18.9,0,6.4
152,18.8,0,6.4
153,21.8,0,6
154,23.3,0,3.6
155,14.3,2.6,9.6
156,18.9,0,4.8
157,21.4,0,3.2
158,21.8,0,2.8
159,20.5,0,3.8
160,18.9,0,4.2
161,19.5,0,2.8
162,22.9,0,2.2
163,23.4,0,3.4
164,24.1,0,4.6
165,19.8,2,3.2
166,18,5.2,3.8
167,20.7,0,3.2
168,19.3,0,3.4
169,21,0,4.6
170,19.7,0,3.2
171,16.1,0,3
172,18.7,0,4.4
173,20.6,0,2.8
174,18.9,0,3.8
175,19,0,4
176,21.2,0,2
177,20.9,0,2
178,21.7,0.2,2.8
179,18.7,0,5.8
180,11.3,7.2,4.4
181,13.8,0.2,1.8
182,14.8,0,1.4
183,13.8,0,2.8
184,17.3,0,1.6
185,17.1,0,4
186,16.7,0,2.4
187,19,0,3.4
188,16.8,0,2.8
189,17.6,0,3.4
190,18.1,0,4.4
191,21,0,2.2
192,20.9,0,2.4
193,17.4,0,2
194,19.2,0,2.2
195,19,0,2.2
196,18.6,0,2
197,17.9,0,2.4
198,16,1.8,3
199,12.3,1,1.8
200,14.1,0.8,1.6
201,18.1,0,2.2
202,17,0,2.2
203,17.4,0,2.6
204,14.7,0,2.6
205,14.8,0,2.4
206,14.5,0,1.2
207,17.5,0,1.6
208,18.5,3.8,2
209,18.1,5.2,1.2
210,16.8,0,1.6
211,17.5,0.2,1.2
212,18,0,2
213,18.5,0,2.2
214,14,0,2.2
215,15.7,0,1
216,14.4,0.8,0.6
217,15.1,3.8,0.2
218,15.1,0,2.2
219,16.7,0,1.6
220,15.5,0,1.4
221,14.5,0,2
222,16.3,0,1.2
223,13.7,6.2,2.2
224,15,4.8,0.2
225,16.4,0.2,1.2
226,13,0.6,3.2
227,11.8,0,2.2
228,14.7,0,2.6
229,16.9,0,2.6
230,15.5,0,1.6
231,15.5,0,1
232,15.9,0,0.6
233,11.7,4.8,0.6
234,13.9,0.6,0.8
235,14,0,1.4
236,12.9,0,2
237,13,0,1.4
238,12.6,0,2
239,11.8,0,2.6
240,14.3,0,3.4
241,14.8,0,2.2
242,16,0,1.4
243,15.4,0,2.4
244,11.7,2,3.6
245,13.1,0.2,2.8
246,11.5,0,2.8
247,12,0,1.8
248,14.2,0,1.4
249,14,0,1.2
250,11.1,0.8,1.4
251,9.5,16.8,1.4
252,8.8,0,0.8
253,8.7,0,1.8
254,8.4,1.6,1.4
255,11.1,0.2,1.4
256,11,0,1
257,16.5,0,0.6
258,13.6,0,1.8
259,12.8,0.2,2
260,11.5,0,0.6
261,10.6,0,0.8
262,11.6,1.2,2.2
263,11,0.2,1.8
264,11.6,19.2,1.8
265,11.6,0,1.4
266,11.2,0,1.6
267,12.2,0,1.6
268,12.9,0,1.2
269,11.3,0.2,2.2
270,9.7,0,1.4
271,10.7,1.4,0.8
272,12.2,0,1.8
273,12.2,0,2.6
274,14.1,0,2.2
275,9.7,1,2.6
276,11.5,6.6,2.2
277,12.8,0,2.2
278,12.3,0,2.4
279,10.9,0,1.8
280,14.1,4,1.6
281,11.1,0,3
282,12.5,1.2,1.4
283,9.6,0,1.8
284,7.6,0.4,2.4
285,9.3,0.4,1.4
286,10.4,0,1.8
287,12.2,0,2.8
288,10.7,0,3.4
289,14.7,0,4.4
290,14.2,0,3
291,11.6,0,4
292,12.5,0,3
293,13.1,0,2.2
294,14,0,2.4
295,14.1,0,3
296,12.2,0,2.6
297,11.6,0,5.4
298,14.4,0,2.6
299,14.2,0,2.6
300,17.3,0,2.8
301,15.1,0,3
302,14.7,0,3.4
303,16.2,0,3.4
304,16.3,0,1.8
305,17.2,4,2.2
306,14.8,7.4,2.6
307,16.7,0,3.8
308,12.1,0,2.8
309,11.3,0.2,2.2
310,12.4,0,1.6
311,16.1,0,1.8
312,16.7,0,2.8
313,15.5,1,2.4
314,14.7,0,3.4
315,15.2,0,4
316,16.6,0,3
317,21.6,0,5
318,25.5,0,5.6
319,19.4,9.8,8.8
320,19.7,1.6,5.2
321,13.2,3.4,6.6
322,14.1,0,5.6
323,18,0,1.6
324,23.3,0,3.6
325,23.3,0,6.8
326,19.5,0,10
327,21.9,0,6.8
328,16.2,17.4,6.4
329,17.3,0,2.2
330,18.7,0,2.6
331,20.9,0,3.6
332,25.7,0,4.8
333,24.3,0,9.4
334,18.9,0,9.6
335,16.8,0,4.8
336,20.6,0,5.4
337,27.6,0,5.2
338,28.9,0,10
339,20.7,7.6,9.4
340,21.3,3,4.2
341,18,0,4.8
342,16,8.2,5.4
343,17.9,0,5.8
344,20,0,6.2
345,22,0,4.4
346,22.4,0,5.4
347,23.9,0,4.8
348,26.1,0,6.2
349,21.1,13.2,6.6
350,19.6,0.6,3.4
351,21,0,4.2
352,24.1,0,6.2
353,24.7,0,5.4
354,28.5,0,5.8
355,27.4,0.2,7.6
356,20.6,0,9
357,15,0.8,4.8
358,18,0,7.4
359,20.7,0,5.4
360,25.5,0,5.2
361,26.1,0,6.8
362,30.7,0,7.6
363,28.4,0,11.6
364,19.9,0,8.4
365,26.9,0,5
366,30.2,0,6
